name,address,latitude,longitude,category_large,category_small,source_file
홈플러스(주)익스프레스 광화문점,"서울특별시  새문안로 91, 1층 (고려빌딩)",37.5704876038354,126.974761002545,생활/편의,복합쇼핑몰,large_scale_shop_seoul_cleaned.csv
광장주식회사,서울특별시 종로구 창경궁로 88,37.5701196320637,126.999798964693,생활/편의,시장,large_scale_shop_seoul_cleaned.csv
신설종합시장,"서울특별시 종로구 난계로27길 51, 신설종합시장 숭인동 (숭인동)",37.5726695877033,127.020344764781,생활/편의,시장,large_scale_shop_seoul_cleaned.csv
신설종합시장(주),"서울특별시 종로구 난계로27길 51, 신설종합시장 (숭인동)",37.5726695877033,127.020344764781,생활/편의,시장,large_scale_shop_seoul_cleaned.csv
GS THE FRESH 무악현대점,"서울특별시 종로구 통일로 246-10, 무악현대아파트 지하 1층 (무악동)",37.5743447023263,126.959103079359,생활/편의,슈퍼마켓,large_scale_shop_seoul_cleaned.csv
방산종합시장,서울특별시 중구 동호로37길 20 (방산동),37.5687241676447,127.000805597741,생활/편의,시장,large_scale_shop_seoul_cleaned.csv
서울남대문시장,서울특별시 중구 남대문시장4길 21 (남창동),37.5591863609004,126.977653709273,생활/편의,시장,large_scale_shop_seoul_cleaned.csv
팀204,서울특별시 중구 마장로 30 (신당동),37.5677127859728,127.013196592402,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
통일상가,"서울특별시 중구 청계천로 260-9 (을지로6가, 통일의류종합상가)",37.569081311707,127.00675994475,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
진양상가,서울특별시 중구 퇴계로 217 (충무로4가),37.5624227137843,126.995931151636,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
상제리제상가,서울특별시 중구 삼일대로 363 (장교동),37.5671565387212,126.987052299704,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
(주)에리어식스,서울특별시 중구 마장로 19 (신당동),37.5681355716925,127.011990826728,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
우일타운,서울특별시 중구 다산로 274 (흥인동),37.5674464828596,127.016527092399,생활/편의,전문점,large_scale_shop_seoul_cleaned.csv
대림상가,서울특별시 중구 을지로 157 (을지로4가),37.5671458986322,126.995451191045,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
신세계백화점,"서울특별시 중구 소공로 63 (충무로1가,신세계백화점건물)",37.560919019936,126.980979034083,생활/편의,백화점,large_scale_shop_seoul_cleaned.csv
아트프라자,서울특별시 중구 마장로1길 28 (신당동),37.569192892231,127.012827274623,생활/편의,그 밖의 대규모점포,large_scale_shop_seoul_cleaned.csv
