name,address,latitude,longitude,category_large,category_small,source_file
철산역,,37.47616,126.868217,metro,7호선,metro_station_seoul_cleaned.csv
광명사거리역,,37.47927,126.854854,metro,7호선,metro_station_seoul_cleaned.csv
천왕역,,37.486699,126.838684,metro,7호선,metro_station_seoul_cleaned.csv
온수역,,37.492059,126.823294,metro,7호선,metro_station_seoul_cleaned.csv
암사역,,37.550127,127.127521,metro,8호선,metro_station_seoul_cleaned.csv
천호역,,37.53792,127.123179,metro,8호선,metro_station_seoul_cleaned.csv
강동구청역,,37.530348,127.120461,metro,8호선,metro_station_seoul_cleaned.csv
몽촌토성역,,37.517692,127.11274,metro,8호선,metro_station_seoul_cleaned.csv
잠실역,,37.514649,127.104267,metro,8호선,metro_station_seoul_cleaned.csv
석촌역,,37.505396,127.106995,metro,8호선,metro_station_seoul_cleaned.csv
송파역,,37.49978,127.11212,metro,8호선,metro_station_seoul_cleaned.csv
가락시장역,,37.493004,127.118279,metro,8호선,metro_station_seoul_cleaned.csv
문정역,,37.485931,127.122473,metro,8호선,metro_station_seoul_cleaned.csv
장지역,,37.478609,127.126229,metro,8호선,metro_station_seoul_cleaned.csv
복정역,,37.471016,127.126746,metro,8호선,metro_station_seoul_cleaned.csv
남위례역,,37.462839,127.139047,metro,8호선,metro_station_seoul_cleaned.csv
산성역,,37.456886,127.149927,metro,8호선,metro_station_seoul_cleaned.csv
남한산성입구역,,37.451568,127.159845,metro,8호선,metro_station_seoul_cleaned.csv
단대오거리역,,37.445057,127.156735,metro,8호선,metro_station_seoul_cleaned.csv
신흥역,,37.440952,127.14759,metro,8호선,metro_station_seoul_cleaned.csv
수진역,,37.437575,127.140936,metro,8호선,metro_station_seoul_cleaned.csv
모란역,,37.433888,127.129921,metro,8호선,metro_station_seoul_cleaned.csv
언주역,,37.507324,127.033905,metro,9호선,metro_station_seoul_cleaned.csv
선정릉역,,37.510278,127.043902,metro,9호선,metro_station_seoul_cleaned.csv
삼성중앙역,,37.51306,127.053334,metro,9호선,metro_station_seoul_cleaned.csv
봉은사역,,37.514258,127.060257,metro,9호선,metro_station_seoul_cleaned.csv
종합운동장역,,37.511433,127.076313,metro,9호선,metro_station_seoul_cleaned.csv
삼전역,,37.504356,127.08804,metro,9호선,metro_station_seoul_cleaned.csv
석촌고분역,,37.502453,127.096961,metro,9호선,metro_station_seoul_cleaned.csv
석촌역,,37.504929,127.106682,metro,9호선,metro_station_seoul_cleaned.csv
송파나루역,,37.510303,127.112231,metro,9호선,metro_station_seoul_cleaned.csv
한성백제역,,37.516311,127.116168,metro,9호선,metro_station_seoul_cleaned.csv
올림픽공원역,,37.516132,127.130282,metro,9호선,metro_station_seoul_cleaned.csv
둔촌오륜역,,37.519395,127.138706,metro,9호선,metro_station_seoul_cleaned.csv
중앙보훈병원역,,37.528321,127.148376,metro,9호선,metro_station_seoul_cleaned.csv
한강버스.여의도선착장,,37.52901,126.934607,bus,hanriver_bus,bus_station_seoul_cleaned.csv
한강버스.망원선착장,,37.55468,126.894245,bus,hanriver_bus,bus_station_seoul_cleaned.csv
한강버스.마곡선착장,,37.5751,126.84404,bus,hanriver_bus,bus_station_seoul_cleaned.csv
종로2가사거리,,37.56980554,126.9877523,bus,bus,bus_station_seoul_cleaned.csv
창경궁.서울대학교병원,,37.57943293,126.9965206,bus,bus,bus_station_seoul_cleaned.csv
명륜3가.성대입구,,37.58258001,126.9982508,bus,bus,bus_station_seoul_cleaned.csv
종로2가.삼일교,,37.56857927,126.9876131,bus,bus,bus_station_seoul_cleaned.csv
혜화동로터리.여운형활동터,,37.586243,127.001744,bus,bus,bus_station_seoul_cleaned.csv
서대문역사거리,,37.566137,126.966893,bus,bus,bus_station_seoul_cleaned.csv
서울역사박물관.경희궁앞,,37.569135,126.97038,bus,bus,bus_station_seoul_cleaned.csv
