상호명,주소,카테고리_대,카테고리_소,위도,경도
코드엠,서울특별시 송파구 마천로8길 21 21,운동 시설,헬스장,37.5066143536666,127.128594215193
진슈퍼,서울특별시 강북구 노해로35길 111-4 111,생활/편의,슈퍼마켓,37.6485622471422,127.019830037712
서울경희한의원,서울특별시 금천구 가산디지털1로 5 5 대륭테크노타운20차,의료,한의원,37.4667424136814,126.886711826909
청구성심병원의법,서울특별시 은평구 통일로 873 873,의료,종합병원,37.6207861384329,126.919553997518
연세고운미소치과의원,서울특별시 강동구 천호대로 1021 1021,의료,치과의원,37.5382515863345,127.125763269888
아이싹체육교실,서울특별시 송파구 중대로 318 318 대진빌딩,운동 시설,요가/필라테스 학원,37.508527595446,127.133902000083
씨21,서울특별시 강남구 학동로 506 506 보라빌딩,생활/편의,슈퍼마켓,37.5186925358339,127.051457296999
올플렉스짐,서울특별시 강남구 논현로71길 10 10,운동 시설,헬스장,37.4950550489107,127.0386514831
궁중식품,서울특별시 구로구 경서로3길 18 18,생활/편의,반찬/식료품 소매업,37.5002269448033,126.856387094466
세븐일레븐장위,서울특별시 성북구 장위로 38 38,생활/편의,편의점,37.6142383315976,127.040717831194
지에스25서교호호점,서울특별시 마포구 동교로17길 55 55,생활/편의,편의점,37.5571455802947,126.914608771073
씨유논현영동점,서울특별시 강남구 도산대로12길 9 9,생활/편의,편의점,37.5170975451161,127.023878664529
서대문은평우리밀,서울특별시 서대문구 성산로17길 7 7 연희궁빌딩,생활/편의,슈퍼마켓,37.5631843223098,126.931613589888
느루요가,서울특별시 구로구 디지털로35길 37 37,운동 시설,요가/필라테스 학원,37.4877170462088,126.895556237681
에일크루브루잉,서울특별시 마포구 모래내로 87 87,생활/편의,반찬/식료품 소매업,37.5666855657444,126.912469904074
사먹는반찬,서울특별시 강동구 풍성로65길 29 29 라이프아파트,생활/편의,반찬/식료품 소매업,37.5294424024761,127.13949425657
서울테라치과,서울특별시 송파구 송파대로 167 167 문정역테라타워,의료,치과의원,37.484655921223,127.12092458662
매일맛반찬,서울특별시 송파구 양산로4길 8 8 거여4단지,생활/편의,반찬/식료품 소매업,37.4895773101958,127.143400289099
씨유가락,서울특별시 송파구 가락로 74 74,생활/편의,편의점,37.499979761947,127.104426913095
동부드림탁구장,서울특별시 중랑구 봉우재로 39 39,운동 시설,탁구장,37.590704030597,127.077548977205
그린유통,서울특별시 서초구 동광로49길 90-4 90,생활/편의,슈퍼마켓,37.496782292559,127.000701125568
삼성상회,서울특별시 중구 남대문시장4길 9 9 공88,생활/편의,슈퍼마켓,37.5596610992437,126.977669639015
KT스크린,서울특별시 강서구 국회대로7길 201 201 세림빌딩,운동 시설,골프 연습장,37.528627258087,126.849703085529
스넥,서울특별시 서대문구 봉원사길 75-7 75,생활/편의,반찬/식료품 소매업,37.5702824522546,126.945643377873
윤스피부과의원,서울특별시 송파구 동남로 141 141 옥산빌딩,의료,피부/비뇨기과 의원,37.491903458868,127.126250904996
성북한의원,서울특별시 도봉구 도봉로 504 504 스마트트라움,의료,한의원,37.6501981755392,127.036114123256
주향에스씨엠,서울특별시 중구 손기정로 73 73 봉래체육문화센터,운동 시설,수영장,37.5564145087114,126.965255330318
파크힐여의도,서울특별시 영등포구 국회대로68길 17 17 아,운동 시설,골프 연습장,37.5287859688535,126.92010543573
중앙매점,서울특별시 강서구 시장도매인로 3 3,생활/편의,슈퍼마켓,37.5562322043918,126.822542385677
와이와이케이인터내셔널,서울특별시 성북구 동소문로26길 13 13,생활/편의,반찬/식료품 소매업,37.5939894502896,127.019713639166
이루어짐송정역점,서울특별시 강서구 공항대로 28 28 좌측,운동 시설,헬스장,37.56114159222,126.810284469245
서울길치과,서울특별시 강동구 양재대로 1477 1477 동,의료,치과의원,37.5377674262265,127.139679482943
씨유신도림,서울특별시 구로구 경인로59길 8 8 태영프라자,생활/편의,편의점,37.5063925689598,126.883428609787
퍼스트태권도,서울특별시 강남구 남부순환로 2936 2936 윈플러스상가,운동 시설,태권도/무술학원,37.493351250447,127.061922383499
혜미농산,서울특별시 마포구 독막로29길 48 48,생활/편의,슈퍼마켓,37.5487451251784,126.938507106661
문화명품세탁소,서울특별시 양천구 곰달래로7길 12 12,생활/편의,세탁소,37.5308512052296,126.835058815216
코넬비뇨기과의원,서울특별시 마포구 만리재로 15 15 제일빌딩,의료,피부/비뇨기과 의원,37.5445890758763,126.952768293609
인정불고기,서울특별시 송파구 바람드리5길 12 12,생활/편의,반찬/식료품 소매업,37.5386918616047,127.118217040167
신간판,서울특별시 중구 무교로 24 24,생활/편의,슈퍼마켓,37.5681037631518,126.979478198924
광장총각강정,서울특별시 종로구 창경궁로 88 88,생활/편의,반찬/식료품 소매업,37.570114766493,126.999705691574
지에스25관악은혜점,서울특별시 관악구 신림로36길 22 22,생활/편의,편의점,37.4758719792646,126.938634696442
워시프렌즈셀프빨래방노원,서울특별시 노원구 초안산로5길 12 12 월계프라자,생활/편의,셀프 빨래방,37.6325600876408,127.05175096129
피앤디,서울특별시 성동구 성수일로 21 21,운동 시설,헬스장,37.5425342096208,127.048678779036
이지골프아카데미,서울특별시 서초구 반포대로 45 45 명정빌딩,운동 시설,골프 연습장,37.4845371044264,127.010843059121
