RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2026,11470,양천구,10100,신정동,1,대지,1276,0000,신트리3,20260211,105000,84.8,0.0,4.0,,,2000.0,아파트,중개거래,서울 양천구
2026,11560,영등포구,11000,여의도동,1,대지,0050,0000,시범,20260211,261000,60.96,0.0,9.0,,,1971.0,아파트,중개거래,서울 영등포구
2026,11260,중랑구,10300,중화동,1,대지,0312,0059,세원맨숀,20260211,28000,65.94,42.0,1.0,,,1995.0,연립다세대,중개거래,서울 중랑구
2026,11710,송파구,10800,문정동,1,대지,0620,0000,송파푸르지오시티,20260211,23000,30.0,39.11,8.0,,,2013.0,오피스텔,중개거래,서울 송파구
2026,11740,강동구,10500,길동,1,대지,0405,0019,써미트빌,20260211,23000,36.22,24.0,4.0,,,2015.0,연립다세대,중개거래,서울 강동구
2026,11290,성북구,13500,종암동,1,대지,0128,0000,극동,20260211,82000,84.96,0.0,11.0,,,2000.0,아파트,중개거래,서울 성북구
2026,11230,동대문구,11000,이문동,1,대지,0225,0000,대림e-편한세상,20260211,107500,79.35,0.0,7.0,,,2003.0,아파트,중개거래,서울 동대문구
2026,11260,중랑구,10200,상봉동,1,대지,0092,0002,시네마시티,20260210,12000,38.88,59.31,7.0,,,2000.0,오피스텔,중개거래,서울 중랑구
2026,11290,성북구,13400,길음동,1,대지,1286,0000,길음뉴타운9단지(래미안),20260210,119800,59.98,0.0,7.0,,,2010.0,아파트,중개거래,서울 성북구
2026,11620,관악구,10200,신림동,1,대지,1730,0000,신림푸르지오,20260210,123000,138.74,0.0,7.0,,,2005.0,아파트,중개거래,서울 관악구
2026,11620,관악구,10200,신림동,1,대지,1730,0000,신림푸르지오,20260210,103000,84.87,0.0,7.0,,,2005.0,아파트,중개거래,"서울 관악구, 서울 금천구"
2026,11590,동작구,10100,노량진동,1,대지,0232,0167,송학대,20260210,205000,47.25,47.0,-1.0,,,1992.0,연립다세대,중개거래,서울 동작구
2026,11470,양천구,10200,목동,1,대지,0951,0000,금호어울림,20260210,164350,133.03,0.0,9.0,,,2004.0,아파트,중개거래,서울 양천구
2026,11470,양천구,10200,목동,1,대지,0772,0011,스카이빌아파트,20260210,109500,84.51,0.0,5.0,,,2002.0,아파트,중개거래,서울 양천구
2026,11350,노원구,10300,공릉동,1,대지,0707,0000,시영2단지(라이프)아파트,20260210,35200,39.6,0.0,11.0,,,1994.0,아파트,중개거래,서울 노원구
2026,11560,영등포구,10900,영등포동8가,1,대지,0086,0000,당산역 리버리치 오피스텔,20260210,36500,39.98,58.95,3.0,,,2016.0,오피스텔,중개거래,서울 영등포구
2026,11590,동작구,10200,상도동,1,대지,0210,0284,벧엘,20260210,26000,67.26,32.0,3.0,,,1997.0,연립다세대,직거래,
2026,11305,강북구,10100,미아동,1,대지,0160,0003,푸르지오시티,20260210,13000,18.647,0.0,6.0,,,2014.0,아파트,중개거래,서울 강북구
2026,11215,광진구,10400,광장동,1,대지,0248,0019,코지하우스,20260210,45600,44.4,23.0,2.0,,,2003.0,연립다세대,중개거래,서울 광진구
2026,11140,중구,13300,충무로5가,1,대지,0036,0002,충무로엘크루메크로시티2차,20260210,23000,22.75,0.0,20.0,,,2016.0,아파트,중개거래,서울 중구
2026,11215,광진구,10500,자양동,1,대지,0654,0009,태용빌라,20260210,31900,37.66,17.0,3.0,,,1993.0,연립다세대,중개거래,서울 광진구
2026,11560,영등포구,10800,영등포동7가,1,대지,0094,0190,토방트윈빌(B),20260210,8500,23.49,31.93,3.0,,,2002.0,오피스텔,중개거래,서울 영등포구
2026,11110,종로구,11800,내수동,1,대지,0074,0000,광화문시대,20260210,35000,40.26,53.82,16.0,,,2004.0,오피스텔,중개거래,서울 은평구
2026,11410,서대문구,11100,홍제동,1,대지,0461,0000,홍제삼성래미안,20260210,90500,60.0,0.0,12.0,,,2001.0,아파트,중개거래,서울 서대문구
2026,11680,강남구,11800,도곡동,1,대지,0550,0001,파크힐,20260210,75500,47.6,0.0,2.0,,,2005.0,아파트,중개거래,서울 강남구
2026,11260,중랑구,10400,묵동,1,대지,0387,0000,브라운스톤태릉,20260210,74000,59.436,0.0,11.0,,,2004.0,아파트,중개거래,서울 중랑구
2026,11500,강서구,10300,화곡동,1,대지,0456,0020,현대하이츠빌라(456-20),20260210,12000,67.52,36.0,-1.0,,,1997.0,연립다세대,직거래,
2026,11140,중구,15800,충무로3가,1,대지,0049,0000,엘크루 메트로시티,20260210,26000,29.46,42.5,12.0,,,2013.0,오피스텔,직거래,
2026,11215,광진구,10400,광장동,1,대지,0148,0004,워커힐푸르지오,20260210,125000,65.63,0.0,7.0,,,1987.0,아파트,중개거래,서울 광진구
2026,11650,서초구,10800,서초동,1,대지,1328,0011,대우도씨에빛2,20260210,36000,38.805,50.849,12.0,,,2005.0,오피스텔,중개거래,"서울 강남구, 서울 서초구"
2026,11470,양천구,10200,목동,1,대지,0732,0014,영도빌라,20260210,13000,31.14,21.0,2.0,,,1991.0,연립다세대,중개거래,서울 양천구
2026,11305,강북구,10200,번동,1,대지,0461,0121,대원(121),20260210,23500,55.24,48.0,2.0,,,1977.0,연립다세대,중개거래,서울 강북구
2026,11590,동작구,10900,신대방동,1,대지,0719,0000,동작상떼빌,20260210,51000,86.39,122.22,19.0,,,2006.0,오피스텔,중개거래,서울 동작구
2026,11200,성동구,10600,사근동,1,대지,0223,0021,왕십리씨티빌,20260210,60000,29.27,22.0,4.0,,,2022.0,연립다세대,중개거래,서울 용산구
2026,11380,은평구,11000,증산동,1,대지,0173,0001,디오반,20260210,11800,14.46,0.0,5.0,,,2011.0,아파트,직거래,
2026,11230,동대문구,10200,용두동,,,,,,20260210,95500,59.83,104.0,,,,1959.0,단독다가구,중개거래,"서울 동대문구, 서울 성동구"
2026,11560,영등포구,13300,대림동,1,대지,1101,0007,G밸리소홈,20260210,13000,16.1,0.0,11.0,,,2018.0,아파트,중개거래,서울 영등포구
2026,11740,강동구,10800,성내동,1,대지,0552,0001,한영해시안아파트,20260210,89000,64.24,0.0,8.0,,,2022.0,아파트,중개거래,서울 강동구
2026,11350,노원구,10500,상계동,1,대지,0624,0000,상계주공16(고층),20260210,48000,59.39,0.0,2.0,,20260212,1988.0,아파트,중개거래,서울 노원구
2026,11620,관악구,10200,신림동,1,대지,1714,0000,삼성산주공(주공3단지),20260210,54500,58.55,0.0,12.0,,,2000.0,아파트,중개거래,서울 관악구
2026,11470,양천구,10100,신정동,1,대지,0323,0009,목동 이스타빌,20260210,66000,73.87,102.34,15.0,,,2003.0,오피스텔,중개거래,서울 양천구
2026,11530,구로구,10200,구로동,1,대지,0685,0222,주공1,20260210,105000,83.805,0.0,9.0,,,1986.0,아파트,중개거래,서울 구로구
2026,11560,영등포구,11700,당산동,1,대지,0121,0130,리버뷰,20260210,12700,20.42,27.53,2.0,,,2015.0,오피스텔,직거래,
2026,11470,양천구,10100,신정동,1,대지,0312,0000,목동신시가지9,20260210,235000,71.37,0.0,9.0,,,1987.0,아파트,중개거래,서울 양천구
2026,11740,강동구,10900,천호동,1,대지,0305,0000,중앙하이츠,20260210,87000,84.99,0.0,1.0,,,1998.0,아파트,중개거래,서울 강동구
2026,11620,관악구,10200,신림동,1,대지,0610,0246,레미안아트빌,20260210,26900,28.15,18.0,4.0,,,2021.0,연립다세대,중개거래,서울 관악구
2026,11620,관악구,10200,신림동,1,대지,0610,0246,레미안아트빌,20260210,26900,28.15,9.0,4.0,,20260211,2021.0,연립다세대,중개거래,서울 관악구
2026,11230,동대문구,10600,장안동,1,대지,0374,0001,장안현대벤처빌,20260210,12000,31.57,40.73,2.0,,,2004.0,오피스텔,중개거래,서울 동대문구
2026,11530,구로구,10700,개봉동,1,대지,0320,0013,롯데하이츠(320-13),20260210,13000,42.96,23.0,4.0,,,2002.0,연립다세대,중개거래,서울 구로구
2026,11380,은평구,10300,불광동,1,대지,0331,0126,좋은사람좋은집,20260209,23000,38.76,18.0,2.0,,,2001.0,연립다세대,중개거래,서울 은평구
2026,11440,마포구,12500,성산동,1,대지,0257,0003,이레빌라트,20260209,42400,51.63,35.0,4.0,,,2012.0,연립다세대,중개거래,서울 마포구
2026,11500,강서구,10500,마곡동,1,대지,0760,0000,마곡나루역보타닉푸르지오시티,20260209,17400,22.17,31.61,8.0,,,2017.0,오피스텔,직거래,
2026,11440,마포구,10100,아현동,1,대지,0737,0000,마포 에스케이 허브 블루,20260209,21800,32.422,42.225,17.0,,,2006.0,오피스텔,중개거래,서울 마포구
2026,11470,양천구,10100,신정동,1,대지,0329,0000,목동신시가지14,20260209,224000,71.4,0.0,17.0,,,1987.0,아파트,중개거래,서울 양천구
2026,11560,영등포구,11700,당산동,1,대지,0121,0130,리버뷰,20260209,14900,15.05,0.0,13.0,,,2015.0,아파트,직거래,
2026,11350,노원구,10600,중계동,1,대지,0512,0000,중계무지개,20260209,64000,49.54,0.0,3.0,,,1991.0,아파트,중개거래,서울 노원구
2026,11350,노원구,10200,월계동,1,대지,0556,0000,주공2,20260209,26000,38.64,0.0,1.0,,,1992.0,아파트,직거래,
2026,11320,도봉구,10500,쌍문동,1,대지,0315,0203,리치빌,20260209,27000,42.75,25.0,2.0,,,2022.0,연립다세대,직거래,
2026,11350,노원구,10500,상계동,1,대지,1256,0000,은빛2단지,20260209,42200,49.77,0.0,15.0,,,1998.0,아파트,중개거래,서울 노원구
